L'écriture par les sumériens : ... avant JC,3000
Les premières pyramides : ... avant JC,2700
Premier alphabet : ... avant JC,1300
La guerre de Troie : ... avant JC,1250
Le travail du fer (en Europe) : ... avant JC,800
Fondation de Rome : ... avant JC,753
Fondation de Massalia : ... avant JC,600
Jules César conquiert la Gaule : ... avant JC,57
Bataille d'Alésia : ... avant JC,52
Assassinat de Jules César par son Fils Brutus : ... avant JC,44
Suicide de Cléopatre : ... avant JC,30
Auguste rétablit la paix romaine : ... avant JC,27
Méron persécute les chrétiens,58
Constantinople capitale romaine,330
Chute de l'empire romain,476
